date,amount,category,subcategory,merchant,description,is_recurring
2024-10-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-10-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-10-01,24.72,Food,Groceries,Lidl,Groceries,0
2024-10-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-10-03,40.00,Health,Gym,Gym,Gym subscription,1
2024-10-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-10-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-10-08,80.05,Shopping,Clothes,Clothing Store,Bought clothes,0
2024-10-08,33.42,Health,Supplements,Nutrition Store,Protein powder,0
2024-10-10,24.72,Food,Groceries,Kaufland,Groceries,0
2024-10-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-10-16,24.72,Food,Groceries,REWE,Groceries,0
2024-10-20,21.70,Entertainment,Games,Steam/Store,Bought games,0
2024-10-22,27.47,Food,Eating Out,Delivery,Eating out,0
2024-10-24,24.72,Food,Groceries,REWE,Groceries,0
2024-10-25,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-10-27,24.72,Food,Groceries,Kaufland,Groceries,0
2024-10-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-10-30,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-11-01,40.00,Health,Gym,Gym,Gym subscription,1
2024-11-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-11-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-11-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-11-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-11-03,41.20,Food,Groceries,REWE,Groceries,0
2024-11-06,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-11-07,60.16,Entertainment,Games,Steam/Store,Bought games,0
2024-11-10,41.20,Food,Groceries,Kaufland,Groceries,0
2024-11-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-11-15,27.47,Food,Eating Out,Restaurant,Eating out,0
2024-11-17,41.20,Food,Groceries,Aldi,Groceries,0
2024-11-18,27.47,Food,Eating Out,Cafe,Eating out,0
2024-11-25,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-11-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-12-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-12-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-12-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-12-02,30.90,Food,Groceries,Lidl,Groceries,0
2024-12-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-12-04,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-12-04,40.00,Health,Gym,Gym,Gym subscription,1
2024-12-05,20.60,Food,Eating Out,Cafe,Eating out,0
2024-12-09,20.60,Food,Eating Out,Fast Food,Eating out,0
2024-12-13,35.66,Health,Supplements,Nutrition Store,Protein powder,0
2024-12-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-12-15,30.90,Food,Groceries,Kaufland,Groceries,0
2024-12-20,20.60,Food,Eating Out,Restaurant,Eating out,0
2024-12-23,30.90,Food,Groceries,Lidl,Groceries,0
2024-12-25,30.90,Food,Groceries,REWE,Groceries,0
2024-12-25,32.23,Shopping,Books,Bookstore,Bought a book,0
2024-12-26,33.23,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2024-12-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-12-27,20.60,Food,Eating Out,Delivery,Eating out,0
2025-01-01,40.00,Health,Gym,Gym,Gym subscription,1
2025-01-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-01-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-01-03,21.20,Food,Groceries,Kaufland,Groceries,0
2025-01-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-01-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-01-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-01-11,21.20,Food,Groceries,Edeka,Groceries,0
2025-01-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-01-14,21.20,Food,Groceries,REWE,Groceries,0
2025-01-14,21.20,Food,Eating Out,Delivery,Eating out,0
2025-01-14,21.20,Food,Eating Out,Fast Food,Eating out,0
2025-01-15,21.20,Food,Eating Out,Cafe,Eating out,0
2025-01-24,51.14,Shopping,Books,Bookstore,Bought a book,0
2025-01-25,21.20,Food,Groceries,Lidl,Groceries,0
2025-01-25,21.20,Food,Eating Out,Delivery,Eating out,0
2025-01-27,49.64,Shopping,Clothes,Clothing Store,Bought clothes,0
2025-01-28,21.20,Food,Groceries,Edeka,Groceries,0
2025-01-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-02-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-02-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-02-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-02-03,40.00,Health,Gym,Gym,Gym subscription,1
2025-02-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-02-04,25.44,Food,Groceries,Lidl,Groceries,0
2025-02-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-02-05,51.24,Shopping,Books,Bookstore,Bought a book,0
2025-02-09,28.27,Food,Eating Out,Cafe,Eating out,0
2025-02-10,25.44,Food,Groceries,Kaufland,Groceries,0
2025-02-10,28.25,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2025-02-13,28.27,Food,Eating Out,Fast Food,Eating out,0
2025-02-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-02-15,28.27,Food,Eating Out,Restaurant,Eating out,0
2025-02-17,22.00,Entertainment,Games,Steam/Store,Bought games,0
2025-02-18,25.44,Food,Groceries,Kaufland,Groceries,0
2025-02-19,33.05,Health,Supplements,Nutrition Store,Protein powder,0
2025-02-25,25.44,Food,Groceries,REWE,Groceries,0
2025-02-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-02-28,25.44,Food,Groceries,Aldi,Groceries,0
2025-03-01,40.00,Health,Gym,Gym,Gym subscription,1
2025-03-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-03-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-03-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-03-02,42.40,Food,Groceries,Edeka,Groceries,0
2025-03-05,34.04,Shopping,Books,Bookstore,Bought a book,0
2025-03-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-03-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-03-07,16.96,Food,Eating Out,Restaurant,Eating out,0
2025-03-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-03-13,16.96,Food,Eating Out,Cafe,Eating out,0
2025-03-13,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-03-21,42.40,Food,Groceries,Aldi,Groceries,0
2025-03-28,16.96,Food,Eating Out,Cafe,Eating out,0
2025-03-28,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-03-29,42.40,Food,Groceries,Edeka,Groceries,0
2025-03-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-04-01,40.00,Health,Gym,Gym,Gym subscription,1
2025-04-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-04-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-04-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-04-01,21.20,Food,Groceries,Edeka,Groceries,0
2025-04-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-04-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-04-07,21.20,Food,Groceries,Lidl,Groceries,0
2025-04-08,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-04-10,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-04-10,16.96,Food,Eating Out,Cafe,Eating out,0
2025-04-11,16.96,Food,Eating Out,Restaurant,Eating out,0
2025-04-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-04-15,16.96,Food,Eating Out,Cafe,Eating out,0
2025-04-17,21.20,Food,Groceries,Kaufland,Groceries,0
2025-04-20,35.28,Health,Supplements,Nutrition Store,Protein powder,0
2025-04-24,21.20,Food,Groceries,Kaufland,Groceries,0
2025-04-25,21.20,Food,Groceries,Edeka,Groceries,0
2025-04-25,43.88,Entertainment,Games,Steam/Store,Bought games,0
2025-04-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-05-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-05-02,40.00,Health,Gym,Gym,Gym subscription,1
2025-05-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-05-02,21.20,Food,Groceries,REWE,Groceries,0
2025-05-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-05-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-05-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-05-07,21.20,Food,Groceries,Kaufland,Groceries,0
2025-05-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-05-14,28.27,Food,Eating Out,Delivery,Eating out,0
2025-05-18,21.20,Food,Groceries,Kaufland,Groceries,0
2025-05-20,28.27,Food,Eating Out,Cafe,Eating out,0
2025-05-24,21.20,Food,Groceries,Edeka,Groceries,0
2025-05-24,28.27,Food,Eating Out,Cafe,Eating out,0
2025-05-26,58.79,Shopping,Books,Bookstore,Bought a book,0
2025-05-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-05-29,21.20,Food,Groceries,Kaufland,Groceries,0
2025-06-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-06-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-06-03,40.00,Health,Gym,Gym,Gym subscription,1
2025-06-04,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-06-04,25.44,Food,Groceries,Edeka,Groceries,0
2025-06-05,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-06-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-06-09,25.44,Food,Groceries,Aldi,Groceries,0
2025-06-12,16.77,Shopping,Books,Bookstore,Bought a book,0
2025-06-13,16.96,Food,Eating Out,Delivery,Eating out,0
2025-06-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-06-16,36.71,Health,Supplements,Nutrition Store,Protein powder,0
2025-06-18,25.44,Food,Groceries,Lidl,Groceries,0
2025-06-23,25.44,Food,Groceries,REWE,Groceries,0
2025-06-24,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-06-25,16.96,Food,Eating Out,Restaurant,Eating out,0
2025-06-26,16.96,Food,Eating Out,Restaurant,Eating out,0
2025-06-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-06-29,25.44,Food,Groceries,Lidl,Groceries,0
2025-06-30,16.96,Food,Eating Out,Cafe,Eating out,0
2025-07-01,40.00,Health,Gym,Gym,Gym subscription,1
2025-07-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-07-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-07-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-07-03,42.40,Food,Groceries,REWE,Groceries,0
2025-07-04,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-07-04,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-07-06,54.87,Shopping,Books,Bookstore,Bought a book,0
2025-07-09,13.37,Entertainment,Games,Steam/Store,Bought games,0
2025-07-15,16.96,Food,Eating Out,Delivery,Eating out,0
2025-07-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-07-17,42.40,Food,Groceries,Aldi,Groceries,0
2025-07-18,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-07-22,42.40,Food,Groceries,Edeka,Groceries,0
2025-07-28,16.96,Food,Eating Out,Delivery,Eating out,0
2025-07-29,16.96,Food,Eating Out,Delivery,Eating out,0
2025-07-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-07-30,16.96,Food,Eating Out,Cafe,Eating out,0
2025-08-01,40.00,Health,Gym,Gym,Gym subscription,1
2025-08-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-08-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-08-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-08-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-08-03,31.80,Food,Groceries,Kaufland,Groceries,0
2025-08-05,28.27,Food,Eating Out,Fast Food,Eating out,0
2025-08-06,31.58,Health,Supplements,Nutrition Store,Protein powder,0
2025-08-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-08-08,28.27,Food,Eating Out,Cafe,Eating out,0
2025-08-09,31.80,Food,Groceries,Lidl,Groceries,0
2025-08-16,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-08-23,38.28,Shopping,Books,Bookstore,Bought a book,0
2025-08-24,31.80,Food,Groceries,REWE,Groceries,0
2025-08-27,31.80,Food,Groceries,Lidl,Groceries,0
2025-08-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-08-30,28.27,Food,Eating Out,Delivery,Eating out,0
2025-09-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-09-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-09-03,40.00,Health,Gym,Gym,Gym subscription,1
2025-09-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-09-03,42.40,Food,Groceries,Kaufland,Groceries,0
2025-09-06,21.20,Food,Eating Out,Restaurant,Eating out,0
2025-09-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-09-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-09-08,324.92,Shopping,Electronics,Electronics Store,Electronics purchase,0
2025-09-09,21.20,Food,Eating Out,Restaurant,Eating out,0
2025-09-11,42.40,Food,Groceries,REWE,Groceries,0
2025-09-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-09-18,42.40,Food,Groceries,Kaufland,Groceries,0
2025-09-20,21.20,Food,Eating Out,Fast Food,Eating out,0
2025-09-21,34.35,Shopping,Books,Bookstore,Bought a book,0
2025-09-22,21.20,Food,Eating Out,Delivery,Eating out,0
2025-09-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-10-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-10-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-10-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-10-01,31.80,Food,Groceries,Aldi,Groceries,0
2025-10-02,40.00,Health,Gym,Gym,Gym subscription,1
2025-10-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-10-06,39.57,Shopping,Books,Bookstore,Bought a book,0
2025-10-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-10-12,14.13,Food,Eating Out,Restaurant,Eating out,0
2025-10-14,7.81,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2025-10-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-10-15,31.80,Food,Groceries,REWE,Groceries,0
2025-10-17,14.13,Food,Eating Out,Delivery,Eating out,0
2025-10-22,31.80,Food,Groceries,REWE,Groceries,0
2025-10-22,31.66,Health,Supplements,Nutrition Store,Protein powder,0
2025-10-27,31.80,Food,Groceries,Aldi,Groceries,0
2025-10-27,14.13,Food,Eating Out,Delivery,Eating out,0
2025-10-28,14.13,Food,Eating Out,Restaurant,Eating out,0
2025-10-29,14.13,Food,Eating Out,Fast Food,Eating out,0
2025-10-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-10-31,14.13,Food,Eating Out,Fast Food,Eating out,0
2025-11-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-11-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-11-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-11-01,25.44,Food,Groceries,Edeka,Groceries,0
2025-11-02,40.00,Health,Gym,Gym,Gym subscription,1
2025-11-04,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-11-04,6.12,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2025-11-05,41.16,Shopping,Books,Bookstore,Bought a book,0
2025-11-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-11-09,25.44,Food,Groceries,Kaufland,Groceries,0
2025-11-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-11-15,25.44,Food,Groceries,REWE,Groceries,0
2025-11-15,21.20,Food,Eating Out,Fast Food,Eating out,0
2025-11-22,25.44,Food,Groceries,Kaufland,Groceries,0
2025-11-22,21.20,Food,Eating Out,Restaurant,Eating out,0
2025-11-23,21.20,Food,Eating Out,Cafe,Eating out,0
2025-11-25,21.20,Food,Eating Out,Delivery,Eating out,0
2025-11-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2025-11-28,25.44,Food,Groceries,REWE,Groceries,0
2025-12-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2025-12-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2025-12-01,25.44,Food,Groceries,Aldi,Groceries,0
2025-12-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2025-12-04,40.00,Health,Gym,Gym,Gym subscription,1
2025-12-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2025-12-06,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-12-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2025-12-09,25.44,Food,Groceries,REWE,Groceries,0
2025-12-11,44.64,Entertainment,Games,Steam/Store,Bought games,0
2025-12-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2025-12-16,16.96,Food,Eating Out,Delivery,Eating out,0
2025-12-18,25.44,Food,Groceries,Kaufland,Groceries,0
2025-12-18,16.96,Food,Eating Out,Cafe,Eating out,0
2025-12-20,33.14,Health,Supplements,Nutrition Store,Protein powder,0
2025-12-21,16.96,Food,Eating Out,Fast Food,Eating out,0
2025-12-23,25.44,Food,Groceries,Aldi,Groceries,0
2025-12-23,16.96,Food,Eating Out,Restaurant,Eating out,0
2025-12-26,25.44,Food,Groceries,Lidl,Groceries,0
2025-12-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-01-01,40.00,Health,Gym,Gym,Gym subscription,1
2026-01-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-01-01,32.70,Food,Groceries,Kaufland,Groceries,0
2026-01-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-01-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-01-06,21.80,Food,Eating Out,Restaurant,Eating out,0
2026-01-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-01-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-01-09,32.70,Food,Groceries,Lidl,Groceries,0
2026-01-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2026-01-16,32.70,Food,Groceries,Kaufland,Groceries,0
2026-01-19,33.60,Entertainment,Games,Steam/Store,Bought games,0
2026-01-23,21.80,Food,Eating Out,Fast Food,Eating out,0
2026-01-25,32.70,Food,Groceries,REWE,Groceries,0
2026-01-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-01-30,21.80,Food,Eating Out,Restaurant,Eating out,0
2026-01-30,21.80,Food,Eating Out,Restaurant,Eating out,0
2026-02-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-02-01,20.77,Shopping,Books,Bookstore,Bought a book,0
2026-02-02,40.00,Health,Gym,Gym,Gym subscription,1
2026-02-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-02-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-02-03,21.80,Food,Groceries,Lidl,Groceries,0
2026-02-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-02-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-02-09,21.80,Food,Groceries,Kaufland,Groceries,0
2026-02-10,17.44,Food,Eating Out,Cafe,Eating out,0
2026-02-11,17.44,Food,Eating Out,Cafe,Eating out,0
2026-02-13,32.16,Health,Supplements,Nutrition Store,Protein powder,0
2026-02-14,17.44,Food,Eating Out,Fast Food,Eating out,0
2026-02-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2026-02-16,282.45,Shopping,Electronics,Electronics Store,Electronics purchase,0
2026-02-18,21.80,Food,Groceries,REWE,Groceries,0
2026-02-19,17.44,Food,Eating Out,Delivery,Eating out,0
2026-02-23,21.80,Food,Groceries,Lidl,Groceries,0
2026-02-23,17.44,Food,Eating Out,Delivery,Eating out,0
2026-02-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-02-28,21.80,Food,Groceries,REWE,Groceries,0
2026-03-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-03-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-03-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-03-04,40.00,Health,Gym,Gym,Gym subscription,1
2026-03-04,26.16,Food,Groceries,Aldi,Groceries,0
2026-03-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-03-05,17.44,Food,Eating Out,Restaurant,Eating out,0
2026-03-06,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-03-08,17.44,Food,Eating Out,Fast Food,Eating out,0
2026-03-08,17.44,Food,Eating Out,Cafe,Eating out,0
2026-03-11,26.16,Food,Groceries,Kaufland,Groceries,0
2026-03-11,38.55,Entertainment,Games,Steam/Store,Bought games,0
2026-03-14,26.16,Food,Groceries,Lidl,Groceries,0
2026-03-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2026-03-20,17.44,Food,Eating Out,Delivery,Eating out,0
2026-03-20,159.26,Gifts,Gift,Gift Shop,Gift purchase,0
2026-03-21,26.16,Food,Groceries,Edeka,Groceries,0
2026-03-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-03-27,26.16,Food,Groceries,Aldi,Groceries,0
2026-03-29,17.44,Food,Eating Out,Delivery,Eating out,0
2026-04-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-04-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-04-03,40.00,Health,Gym,Gym,Gym subscription,1
2026-04-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-04-04,26.16,Food,Groceries,Edeka,Groceries,0
2026-04-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-04-05,128.00,Gifts,Gift,Gift Shop,Gift purchase,0
2026-04-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-04-08,26.16,Food,Groceries,Kaufland,Groceries,0
2026-04-16,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2026-04-17,29.07,Food,Eating Out,Cafe,Eating out,0
2026-04-17,29.07,Food,Eating Out,Cafe,Eating out,0
2026-04-17,29.07,Food,Eating Out,Delivery,Eating out,0
2026-04-18,26.16,Food,Groceries,Edeka,Groceries,0
2026-04-21,34.53,Health,Supplements,Nutrition Store,Protein powder,0
2026-04-22,26.16,Food,Groceries,Lidl,Groceries,0
2026-04-25,26.16,Food,Groceries,Kaufland,Groceries,0
2026-04-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-05-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-05-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-05-02,32.70,Food,Groceries,Edeka,Groceries,0
2026-05-02,47.41,Entertainment,Games,Steam/Store,Bought games,0
2026-05-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-05-04,40.00,Health,Gym,Gym,Gym subscription,1
2026-05-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-05-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-05-09,32.70,Food,Groceries,Kaufland,Groceries,0
2026-05-10,14.53,Food,Eating Out,Cafe,Eating out,0
2026-05-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2026-05-15,14.53,Food,Eating Out,Delivery,Eating out,0
2026-05-20,159.48,Gifts,Gift,Gift Shop,Gift purchase,0
2026-05-23,32.70,Food,Groceries,Aldi,Groceries,0
2026-05-24,14.53,Food,Eating Out,Fast Food,Eating out,0
2026-05-25,32.70,Food,Groceries,Kaufland,Groceries,0
2026-05-26,14.53,Food,Eating Out,Restaurant,Eating out,0
2026-05-27,14.53,Food,Eating Out,Delivery,Eating out,0
2026-05-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-05-30,14.53,Food,Eating Out,Fast Food,Eating out,0
2026-06-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-06-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-06-01,32.70,Food,Groceries,REWE,Groceries,0
2026-06-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-06-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-06-03,40.00,Health,Gym,Gym,Gym subscription,1
2026-06-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-06-05,21.80,Food,Eating Out,Restaurant,Eating out,0
2026-06-09,21.80,Food,Eating Out,Fast Food,Eating out,0
2026-06-10,37.01,Health,Supplements,Nutrition Store,Protein powder,0
2026-06-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2026-06-13,21.80,Food,Eating Out,Restaurant,Eating out,0
2026-06-14,21.80,Food,Eating Out,Fast Food,Eating out,0
2026-06-18,32.70,Food,Groceries,Lidl,Groceries,0
2026-06-25,32.70,Food,Groceries,REWE,Groceries,0
2026-06-26,32.70,Food,Groceries,Edeka,Groceries,0
2026-06-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2026-07-01,40.00,Health,Gym,Gym,Gym subscription,1
2026-07-01,43.60,Food,Groceries,Edeka,Groceries,0
2026-07-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2026-07-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2026-07-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2026-07-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2026-07-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2026-07-05,17.44,Food,Eating Out,Restaurant,Eating out,0
2026-07-12,17.44,Food,Eating Out,Fast Food,Eating out,0
2026-07-12,17.44,Food,Eating Out,Fast Food,Eating out,0
2026-07-13,17.44,Food,Eating Out,Restaurant,Eating out,0
2026-07-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
